lantus,glucose_diff,time_diff_minutes,mealcarbs_last_meal,humalog_last_meal
8,-107.1531384,180,17.04274599,1.923668684
8,18.75846563,180,21.16271299,0.870550993
8,109.1003507,180,32.95480732,0.556736859
8,56.02013752,180,41.01817233,1.490707241
8,-13.99951518,180,40.74375513,2.177182908
8,51.44571463,180,48.58377147,1.914731427
8,137.3134992,180,47.74530547,1.014130282
8,100.3862512,180,33.40832578,0.666553777
8,-55.30839651,180,12.84085628,1.195126779
8,-15.38825146,180,17.96928968,1.052346998
8,-7.948999784,180,40.71921851,2.115450923
8,54.20307792,180,29.8037939,0.948158916
8,-19.24806582,180,19.7126096,1.178111138
8,-25.92749783,180,15.55296245,1.036923101
8,-75.05037243,180,24.32719017,1.966863233
8,-51.59758157,180,20.31870309,1.53191097
8,-51.28694348,180,14.21387875,1.223563372
8,15.09781547,180,39.21121048,1.809582369
8,52.89100032,180,49.38338884,1.940259439
8,-9.876227132,180,23.21668499,1.259596521
8,197.9165021,180,44.58428142,0.25004905
8,-44.6153788,180,35.53240927,2.222774251
8,-132.7640412,180,15.54506106,2.104893465
8,-24.4764528,180,23.76767122,1.433148089
8,33.83575622,180,45.9029192,1.956788398
8,-155.8663398,180,12.25062226,2.171194511
8,91.80619785,180,34.33903475,0.798889759
8,-37.80369685,180,16.0060666,1.178340298
8,9.10252208,180,10.24360444,0.421155001
8,20.33730649,180,23.49440346,0.971347108
8,16.55573157,180,24.88619572,1.07875247
8,103.5060529,180,37.27200245,0.828539593
8,65.39965383,180,37.9407487,1.243040897
8,1.269689419,180,14.58381027,0.71649362
8,187.1011827,180,46.50276721,0.454126534
8,108.8642039,180,45.73209883,1.197962903
8,25.58108446,180,44.94695072,1.991536692
8,65.45708582,180,24.71794004,0.581326144
8,34.28790326,180,49.31403928,2.122822931
8,36.95131116,180,38.36607322,1.548790549
8,-13.38729946,180,31.33892578,1.700819283
8,37.09778897,180,25.8360449,0.920824355
8,14.93902382,180,41.81923002,1.941571263
8,-99.29778384,180,24.43820546,2.214888112
8,-31.69833359,180,16.61027262,1.147496967
8,-70.71208617,180,27.61827574,2.088034649
8,56.26179508,180,32.41377997,1.058071048
8,112.8625261,180,45.89378438,1.166063958
8,151.22351,180,35.29999662,0.25276473
8,-25.84174937,180,21.54006291,1.335420639
8,2.505041457,180,31.92339844,1.571119508
8,-20.96824751,180,34.99235992,1.959300471
8,-136.384086,180,11.33678307,1.930680013
8,101.6390623,180,41.2747857,1.047348662
8,-115.9542492,180,16.72518615,1.995801799
8,-21.52310518,180,24.1933542,1.424898762
8,28.62687188,180,30.98901631,1.263182097
